,noun,n,,,,,,,
4,생각,79,,,,,,,
7,본인,61,,,,,,,
9,여성,59,,,,,,,
11,문제,44,,,차별,17,,감사,17
12,시간,44,,,문제,44,,도움,13
15,통근버스,39,,,갑질,18,,,
17,당신,37,,,미투,33,,,
20,미투,33,,,이상,18,,,
21,여자,32,,,,,,,
26,업무,27,,,,,,,
30,자리,25,,,,,,,
31,자신,25,,,,,,,
33,전화,24,,,,,,,
35,마음,23,,,,,,,
36,누구,21,,,,,,,
38,정도,21,,,,,,,
39,당시,20,,,,,,,
41,관심,19,,,,,,,
42,사실,19,,,,,,,
43,여비,19,,,,,,,
44,갑질,18,,,,,,,
45,능력,18,,,,,,,
46,이상,18,,,,,,,
48,채용,18,,,,,,,
49,감사,17,,,,,,,
50,그것,17,,,,,,,
51,언론,17,,,,,,,
52,이유,17,,,,,,,
53,차별,17,,,,,,,
54,국민,16,,,,,,,
55,기사,16,,,,,,,
56,직원들,16,,,,,,,
57,커피,16,,,,,,,
58,남자,15,,,,,,,
60,대나무숲,15,,,,,,,
61,사회,15,,,,,,,
62,상황,15,,,,,,,
63,소리,15,,,,,,,
64,승진,15,,,,,,,
67,복지,14,,,,,,,
68,영감,14,,,,,,,
73,도움,13,,,,,,,
74,모습,13,,,,,,,
75,얘기,13,,,,,,,
77,얼마,13,,,,,,,
79,이용,13,,,,,,,
80,지역,13,,,,,,,
81,진심,13,,,,,,,
82,친구,13,,,,,,,
84,기억,12,,,,,,,
85,기자,12,,,,,,,
86,머리,12,,,,,,,
87,세상,12,,,,,,,
89,수준,12,,,,,,,
91,이해,12,,,,,,,
92,입장,12,,,,,,,
93,정책,12,,,,,,,
94,직급,12,,,,,,,
95,출신,12,,,,,,,
97,공부,11,,,,,,,
98,궁금,11,,,,,,,
