"","noun","n"
"1","일자리",10
"2","정부",9
"3","민간",7
"4","신산업",7
"5","기업",6
"6","지원",5
"7","투자",5
"8","성장",4
"9","우리",4
"10","주력",4
"11","지원하",4
"12","창출",4
"13","고용",3
"14","규제혁신",3
"15","방안",3
"16","사업",3
"17","오늘",3
"18","일자리위원회",3
"19","적극",3
"20","프로젝트",3
"21","강조",2
"22","개발",2
"23","경제",2
"24","대기업",2
"25","동력",2
"26","미래",2
"27","반도체",2
"28","부분",2
"29","분야",2
"30","산업",2
"31","상생",2
"32","상황",2
"33","신속",2
"34","신제품",2
"35","어려움",2
"36","정책",2
"37","제조업",2
"38","중요",2
"39","지원해",2
"40","촉진",2
"41","회의",2
